source,reqs,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The instruments and spacecraft shall assign application process identifiers (APIDs) within the range specified in SC-GND-4415 APID Range Assignments.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 16-31 of the Packet Primary Header shall contain the Packet Sequence Control Field.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The Packet Sequence Control field shall be sub-divided into two sub-fields as follows: Sequence Flags (2 bits), Packet Sequence Count (14 bits).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 18-31 of the Packet Primary Header shall contain the Packet Sequence Count.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Packet Sequence Count shall provide the sequential binary count of each Space Packet generated by the user application identified by the APID.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Packet Sequence Count shall be continuous (modulo-16384).,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The packet sequence count in the primary header in a CCSDS packet shall only be 0 by virtue of initialization or a count rollover.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 32-47 of the Packet Primary Header shall contain the Packet Data Length.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Packet Data Length field shall contain a length count (C) that equals one fewer than the length (in octets) of the Packet Data Field.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For non-segmented packets, the Packet Data Field shall consist of the following two fields, positioned contiguously, in the following sequence: Packet Secondary Header, User Data Field (varies).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For the middle and last segments of segmented packets, the Packet Data Field shall consist of a variable-length User Data Field.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For packets that contain a Packet Secondary Header (i.e., the first segment of segmented packets, and non-segmented packets), the Packet Secondary Header shall immediately follow the Packet Primary Header.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The presence or absence of a Packet Secondary Header shall be signaled by the Secondary Header Flag within the Packet Identification Field.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The spacecraft reference epoch shall be the NASA Epoch of Jan 1, 1958, 00:00:00 UTC (TAI).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The CCSDS Time Code field in the packet Secondary Header shall be spacecraft time presented in CCSDS Day Segmented Time Code (CDS) format per CCSDS Recommendations for Space Data System Standards – Time Code Formats, CCSDS 301.0-B-2 for all software packets generated by the instruments or spacecraft processor.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For software telemetry packets, the Packet Secondary Header Time Code Field shall be subdivided as follows and as shown in Figure SC-GND-3970: Day (16 bits), Milliseconds of day (32 bits), Microseconds of millisecond (16 bits).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Days shall be an unsigned 16-bit integer of the number of days since the spacecraft epoch.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Milliseconds of day shall be an unsigned 32-bit integer of the number of milliseconds since midnight UTC of the current day.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Microseconds of millisecond shall be an unsigned 16-bit integer of the number of microseconds since the beginning of the current millisecond.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The range for milliseconds of day shall be 0 to 86,399,999 for days without leap-seconds, and 0 to either 86,400,999 or 86,398,999 for days when leap-second adjustments are introduced.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The range for microseconds of millisecond shall be 0 to 999. [SC-GND-4430] The CCSDS Time Code field in the packet Secondary Header of hardware-generated packets shall be spacecraft time presented in CCSDS Unsegmented Time Code (CUC) format.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For hardware telemetry packets, the Packet Secondary Header Time Code Field shall be sub-divided as follows: Seconds Field (32 bits), Reserved Spare (8 bits), Subseconds Field (24 bits).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For hardware telemetry packets, the Seconds field shall have a length of 32 bits.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For hardware telemetry packets, the Reserved Spare field shall be set to '0x00'.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For hardware telemetry packets, the Subseconds field shall have a length of 24 bits. The spacecraft uses a 10 MHz oscillator to drive this timer. One bit value is the time required for one cycle of the 10 MHz oscillator (1 bit = 0.0000001 seconds).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For the first segment of segmented packets, the ninth octet of data in the secondary header shall be the number of packet segments field containing the total number of packets expected for this CCSDS packet set minus one.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For the first segment of segmented packets, the tenth octet of data in the secondary header shall be spare bits.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The User Data Field shall immediately follow the Packet Secondary Header if present. The User Data Field shall immediately follow the Packet Primary Header if Secondary Header is not present.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The User Data Field shall consist of an integral number of octets.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For packets that contain a Packet Secondary Header of length 8 bytes (non-segmented packets), the User Data Field shall have a maximum length of 65519 bytes.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For packets that contain a Packet Secondary Header of length 10 bytes (first segment of segmented packets), the User Data Field shall have a maximum length of 65517 bytes.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For packets that do not contain a Packet Secondary Header (middle and last segments of segmented packets), the User Data Field shall have a maximum length of 65527 bytes.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"An AOS Transfer Frame shall encompass the major fields, positioned contiguously, in the following sequence: Transfer Frame Primary Header (6 octets), Transfer Frame Insert Zone (9 octets), Transfer Frame Data Field (1096 octets), Operational Control Field (4 octets), Frame Error Control Field (0 octets, not used for X- and S-band; 2 octets for Ka-band).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The Transfer Frame Primary Header shall consist of five fields, positioned contiguously, in the following sequence: Master Channel Identifier (10 bits), Virtual Channel Identifier (6 bits), Virtual Channel Frame Count (3 octets), Signaling Field (1 octet), Frame Header Error Control (0 octets, this field is not used by the spacecraft).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,] Bits 0-9 of the Transfer Frame Primary Header shall contain the Master Channel Identifier (MCID).,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The Master Channel Identifier shall consist of: Transfer Frame Version Number (2 bits), Spacecraft Identifier (8 bits).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 0-1 of the Transfer Frame Primary Header shall contain the Transfer Frame Version Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Transfer Frame Version Number field shall be set to '01'. This identifies the data unit as a Transfer Frame.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 2-9 of the Transfer Frame Primary Header shall contain the Spacecraft ID (SCID).,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The Spacecraft ID shall be set to '0xB1' ('10110001') JPSS 2, '0xB2' ('10110010') for JPSS 3, and '0xB3' ('10110011') for JPSS 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 10-15 of the Transfer Frame Primary Header shall contain the Virtual Channel Identifier (VCID).,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 16-39 of the Transfer Frame Primary Header shall contain the Virtual Channel Frame Count.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The Virtual Channel Frame Count field shall contain a sequential binary count (modulo-16,777,216) of each Transfer Frame transmitted within a specific Virtual Channel.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 40-47 of the Transfer Frame Primary Header shall contain the Signaling Field.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The Signaling Field shall be subdivided into four sub-fields as follows: Replay Flag (1 bit), Virtual Channel (VC) Frame Count Cycle Use Flag (1 bit), Reserved Spares (2 bits) and Virtual Channel Frame Count Cycle (4 bits).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bit 40 of the Transfer Frame Primary Header shall contain the Replay Flag.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bit 41 of the Transfer Frame Primary Header shall contain the VC Frame Count Cycle Use Flag.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 42-43 of the Transfer Frame Primary Header shall contain the reserved spare.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Reserved Spare field shall be set to ‘00’.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 44-47 of the Transfer Frame Primary Header shall contain the Virtual Channel Frame Count Cycle Field.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Transfer Frame Data Field shall immediately follow the Transfer Frame Insert Zone.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Transfer Frame Data Field shall have a length of 1096 Bytes.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Transfer Frame Data Field shall contain one Multiplexing Protocol Data Unit (M_PDU) or Idle Data.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"Idle data shall only appear in Idle Transfer Frames (i.e., if a Virtual Channel transfers M_PDUs, every Transfer Frame of that Virtual Channel should contain an M_PDU).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,An Idle Transfer Frame with a Data Field containing only Idle Data shall be transmitted when no valid transfer frame is available.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Virtual Channel ID of an Idle Transfer Frame shall be set to the value of ‘all ones’,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The ‘idle’ pattern shall be selectable. The spacecraft has a 16 bit selectable pattern with a default idle pattern of '0xD67A'.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Multiplexing Protocol Data Unit (M_PDU) shall immediately follow the Transfer Frame Insert Zone.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The length of the M_PDU shall be 1096 Bytes. [SC-GND-714] The M_PDU shall be divided as follows: M_PDU Header (2 octets), M_PDU Packet Zone (1094 octets).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The M_PDU Header shall be sub-divided as follows: Reserved Spare (5 bits), First Header Pointer (11 bits).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 0-4 of the M_PDU Header shall contain the Reserved Spare. [SC-GND-724] The Reserved Spare field shall be set to ‘00000’.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 5-15 of the M_PDU Header shall contain the First Header Pointer.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The First Header Pointer shall contain the position of the first octet of the first new Packet that starts in the M_PDU Packet Zone. The first octet in this zone is assigned the number 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"If no Packet starts in the M_PDU Packet Zone, the First Header Pointer shall be set to ‘all ones’.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The M_PDU Packet Zone shall immediately follow the M_PDU Header.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Packets shall be inserted contiguously and in forward order into the M_PDU Packet Zone.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,All downlink/return link interfaces shall have a polarization of RHCP.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Spacecraft shall maintain a constant HRD broadcast rate by using idle Transfer Frames using format as defined in CCSDS 732.0-B-3.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For HRD downlink, the Spacecraft shall be capable of transmitting a PN23 maximal pseudo noise pattern from all transmitters.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band downlink, the Spacecraft shall provide a PN23 BER test mode, that replaces the input VCDU with the test pattern, which may be configured with and without RS encoding, with and without randomization, with and without 1/2 convolutional coding, and with and without attached synchronization marker.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band downlink, the VCIDs shall be defined as shown in Table SC-GND-4672.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The VC Frame Count Cycle Usage Flag shall be set to '1' for the Virtual Channels indicated in SC-GND-4672.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Spacecraft shall generate the 4-bit Virtual Channel Frame Count Cycle field with an initial value of ‘0000’.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Spacecraft shall increment the VC Frame Count Cycle each time the VC Frame Count rolls over from all 1' to all 0's.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For the X-band downlink, the OCF shall be set to a static value of 0.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The X-band HRD interface shall have a block coding of (255,223) RS, I=5.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD) downlink, the Reed-Solomon code shall be applied to the Transfer Frame as shown in Figure SC-GND-4226.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The pseudo-random sequence shall be applied starting with the first bit of the Codeblock. On the sending end, the Codeblock is randomized by inverting the first bit of the Codeblock with the first bit of the pseudo-random sequence, followed by the second bit of the Codeblock with the second bit of the pseudo-random sequence, and so on.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The HRD block encoder randomization sequence generation shall be compliant with CCSDS 131.0-B-2, Section 9.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the pseudo-random sequence generator shall be initialized to the all-ones state at the start of each Codeblock.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the pseudo-random sequence shall be applied to each transmitted Codeblock (includes Transfer Frame and RS check symbols). Note: the pseudo-random sequence is NOT exclusive-ORed with the ASM.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the result of the pseudo-random sequence shall be exclusive-ORed each bit in the Codeblock as shown in Figure SC-GND-4249.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD) downlink, the ASM shall be inserted into the X-band bit stream preceding the randomized RS Encoded Transfer Frame.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD) downlink, the ASM shall be acquired for the synchronization of Reed-Solomon decoding.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD) downlink, the RS Encoded Transfer Frame ASM shall have a length of 32-bits (4-octets).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD) downlink, the RS Encoded Transfer Frame ASM shall have a hexadecimal pattern of 0x1ACFFC1D. The binary representation of the RS Encoded Transfer Frame ASM is shown in Figure SC-GND-4263.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the modulator’s phase imbalance shall not exceed 5.5 degrees.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the amplitude imbalance shall not exceed 1.0 dB peak-to-peak.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the AM/PM of the transmitter output signal shall be ? 4 degrees/dB.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the Incidental AM of the transmitter output signal shall be ? 5%.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the data asymmetry of the transmitter output signal shall be ? 3%.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the Phase Nonlinearity (deviation from ideal phase linearity of the Transmitter RF output from the I/Q modulator to the output) shall not exceed 6 degrees peak-to-peak over a bandwidth of the center frequency ± 20 MHz.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the Gain Flatness (gain response of the Transmitter RF output section from the I/Q modulator to the transmitter output connector) shall not exceed 2 dB peak-to-peak over the center frequency ± 20 MHz.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the total power contained in any single spurious emission shall not exceed -60 dBc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the spacecraft radio frequency subsystems utilizing suppressed carrier modulation shall be designed with maximum symbol rate offset: ± 100 ppm;",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the spacecraft radio frequency subsystems utilizing suppressed carrier modulation shall be designed with minimum symbol rate stability (short term, where time intervals are less than or equal to 100 times the symbol period): ± 1e-6",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For X-band (HRD), the spacecraft radio frequency subsystems utilizing suppressed carrier modulation shall be designed with minimum symbol rate stability (long term - stability over 5 minutes): ± 1e-5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The X-band HRD interface shall have a center frequency of 7812.000 MHz +/- 30 kHz.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Communications Subsystem shall maintain a maximum transmit frequency tolerance at end of life of 21.0 parts per million (ppm) from the defined center frequency.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The X-band HRD interface shall have a rate of 25 Msps (CADU).,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The X-band HRD interface shall have an end of spacecraft design life coverage (half angle) of 62 degrees about +/-Z S/C axis.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The X-band HRD interface shall have an end of spacecraft design life BER of 10^-8.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The X-band HRD interface shall have a PCM format of NRZ-M.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The X-band HRD interface shall have a convolutional coding of rate 1/2 length 7.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The X-band HRD interface shall have a modulation of OQPSK, with alternating bits on I and Q.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The X-Band (HRD) power flux Density in the 7250-7850 MHz band at the earth surface of each transmit link shall comply with the ITU Radio communication Sector Radio Regulations, RR Article 21.16, Table 21-4.",,,,,,,,,,,,,,,,,,,,,,,,,,,
